"","date","djia","nasdaqcom","btc","sp500","rate"
"391",2016-03-16,17325.76,4763.97,417.010986,2027.22,0.37
"392",2016-03-17,17481.49,4774.99,420.621002,2040.59,0.37
"393",2016-03-18,17602.3,4795.65,409.548004,2049.58,0.37
"394",2016-03-21,17623.87,4808.87,413.307007,2051.6,0.37
"395",2016-03-22,17582.57,4821.66,418.088989,2049.8,0.37
"396",2016-03-23,17502.59,4768.86,418.040985,2036.71,0.37
"397",2016-03-24,17515.73,4773.51,416.394012,2035.94,0.37
"398",2016-03-25,NA,NA,417.177002,NA,0.37
"399",2016-03-28,17535.39,4766.79,424.230988,2037.05,0.37
"400",2016-03-29,17633.11,4846.62,416.515991,2055.01,0.37
"401",2016-03-30,17716.66,4869.29,414.81601,2063.95,0.37
"402",2016-03-31,17685.09,4869.85,416.729004,2059.74,0.25
"403",2016-04-01,17792.75,4914.54,417.959991,2072.78,0.37
"404",2016-04-04,17737,4891.8,421.444,2066.13,0.37
"405",2016-04-05,17603.32,4843.93,424.029999,2045.17,0.37
"406",2016-04-06,17716.05,4920.72,423.412994,2066.66,0.37
"407",2016-04-07,17541.96,4848.37,422.744995,2041.91,0.37
"408",2016-04-08,17576.96,4850.69,420.348999,2047.6,0.37
"409",2016-04-11,17556.41,4833.4,422.483002,2041.99,0.37
"410",2016-04-12,17721.25,4872.09,425.190002,2061.72,0.37
"411",2016-04-13,17908.28,4947.42,423.734009,2082.42,0.37
